                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4547,                 3.9017,                  1.033,                0.41034,                0.55205,                0.46369,                0.31215,                 1.2078,                 1.7868,                0.80338,             0.00023689,             0.00023689,             0.00023689
                      2,                 1.3009,                 1.4878,                0.80654,                0.62893,                0.82373,                0.75143,                0.51996,                 1.0424,                 1.1732,                0.78349,             0.00042788,             0.00042788,             0.00042788
                      3,                  1.214,                 1.1875,                0.79122,                 0.7885,                0.80977,                0.87503,                0.65094,                0.94174,                0.91764,                0.78122,             0.00057174,             0.00057174,             0.00057174
                      4,                 1.1408,                 1.0023,                0.79021,                0.79352,                0.85694,                 0.9016,                0.71354,                0.80745,                0.78008,                0.77174,             0.00050194,             0.00050194,             0.00050194
                      5,                0.97152,                0.82598,                0.78876,                0.86322,                0.90392,                0.93526,                 0.7536,                0.75472,                0.65949,                0.77386,             0.00043126,             0.00043126,             0.00043126
                      6,                0.91234,                0.76458,                0.78094,                0.87318,                0.94303,                0.94019,                0.75133,                0.76931,                0.64859,                0.77021,             0.00036057,             0.00036057,             0.00036057
                      7,                0.89953,                0.71121,                0.78034,                0.91146,                0.92073,                0.95936,                0.79206,                0.69778,                 0.6276,                0.77086,             0.00028988,             0.00028988,             0.00028988
                      8,                0.87198,                0.69483,                0.78002,                0.90871,                0.93699,                0.96575,                0.81871,                0.64505,                0.55144,                0.76791,              0.0002192,              0.0002192,              0.0002192
                      9,                 0.8692,                0.62661,                0.78199,                0.88717,                0.95746,                0.96742,                0.80844,                0.68781,                0.59687,                 0.7699,             0.00014851,             0.00014851,             0.00014851
                     10,                0.82153,                0.60056,                0.78481,                0.93403,                0.93504,                 0.9717,                0.83125,                0.62054,                0.52507,                0.77062,             7.7826e-05,             7.7826e-05,             7.7826e-05
