                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7645,                 3.7518,                  1.124,                0.55179,                0.80064,                0.65813,                0.54393,                 0.6636,                  1.861,                 0.8103,              0.0002358,              0.0002358,              0.0002358
                      2,                0.78022,                 1.3347,                0.81421,                0.71264,                0.85722,                 0.8065,                0.67577,                0.61295,                  1.058,                0.79896,             0.00046911,             0.00046911,             0.00046911
                      3,                0.64897,                 0.9002,                0.80142,                0.90951,                0.95654,                0.97552,                0.85744,                 0.5219,                0.57406,                0.79219,              0.0006977,              0.0006977,              0.0006977
                      4,                0.62251,                0.73072,                0.79451,                0.98793,                0.98486,                0.99431,                0.88014,                0.49874,                0.45219,                0.78914,             0.00069279,             0.00069279,             0.00069279
                      5,                0.57461,                0.59413,                0.79559,                0.99685,                0.99746,                 0.9948,                0.87675,                0.51863,                0.41421,                0.78884,             0.00068573,             0.00068573,             0.00068573
                      6,                0.57171,                0.52519,                0.79638,                 0.9974,                0.99895,                  0.995,                0.89387,                0.45852,                0.36254,                0.78551,             0.00067866,             0.00067866,             0.00067866
                      7,                0.55599,                0.47782,                0.79752,                0.99782,                0.99842,                0.99485,                0.88922,                0.48825,                0.36794,                 0.7855,             0.00067159,             0.00067159,             0.00067159
                      8,                0.55995,                0.45527,                0.79256,                0.99938,                0.99902,                  0.995,                0.89978,                  0.434,                0.33655,                0.78455,             0.00066452,             0.00066452,             0.00066452
                      9,                0.52268,                0.46192,                0.78912,                0.99874,                0.99928,                  0.995,                0.91698,                0.40157,                0.32338,                0.78093,             0.00065745,             0.00065745,             0.00065745
                     10,                 0.4896,                 0.3971,                0.78634,                0.99904,                0.99911,                  0.995,                0.91999,                0.37543,                0.30169,                0.77998,             0.00065038,             0.00065038,             0.00065038
                     11,                0.47425,                0.37693,                0.79305,                0.99879,                0.99928,                  0.995,                0.92235,                0.37488,                0.29286,                0.78011,             0.00064331,             0.00064331,             0.00064331
                     12,                0.45041,                0.35092,                0.78312,                0.99943,                0.99918,                  0.995,                0.93129,                0.35566,                0.27329,                0.77742,             0.00063625,             0.00063625,             0.00063625
                     13,                0.44722,                0.34891,                  0.778,                0.99948,                0.99952,                  0.995,                0.92824,                0.36491,                0.28206,                0.77675,             0.00062918,             0.00062918,             0.00062918
                     14,                0.43432,                0.34834,                0.78382,                0.99932,                0.99954,                  0.995,                0.93234,                0.35864,                0.28247,                0.77539,             0.00062211,             0.00062211,             0.00062211
                     15,                0.42702,                0.33273,                0.77782,                0.99891,                0.99911,                  0.995,                0.93083,                0.35865,                0.26778,                0.77661,             0.00061504,             0.00061504,             0.00061504
                     16,                0.43037,                0.32351,                0.78048,                0.99949,                0.99931,                  0.995,                0.93171,                0.35282,                0.27078,                0.77472,             0.00060797,             0.00060797,             0.00060797
                     17,                0.42387,                0.31704,                0.78659,                0.99912,                0.99915,                  0.995,                0.92835,                0.36854,                0.27389,                0.77579,              0.0006009,              0.0006009,              0.0006009
                     18,                0.42715,                0.31238,                0.78211,                0.99949,                0.99947,                  0.995,                0.93914,                0.32791,                0.26882,                0.77299,             0.00059383,             0.00059383,             0.00059383
                     19,                0.41732,                0.31132,                0.78015,                0.99963,                0.99954,                  0.995,                0.94136,                0.33533,                0.26379,                0.77339,             0.00058677,             0.00058677,             0.00058677
                     20,                0.40276,                0.30409,                 0.7793,                0.99968,                0.99954,                  0.995,                0.94594,                0.33001,                0.25097,                0.77394,              0.0005797,              0.0005797,              0.0005797
                     21,                0.40194,                0.29382,                0.78331,                0.99948,                0.99949,                  0.995,                0.93891,                0.34294,                0.26022,                0.77335,             0.00057263,             0.00057263,             0.00057263
                     22,                0.42262,                 0.3082,                0.78067,                0.99949,                0.99954,                  0.995,                0.93343,                0.34895,                0.26589,                0.77297,             0.00056556,             0.00056556,             0.00056556
                     23,                0.41242,                0.31091,                0.77766,                0.99921,                0.99954,                  0.995,                0.93496,                0.34462,                0.25867,                0.77342,             0.00055849,             0.00055849,             0.00055849
                     24,                0.41879,                0.30233,                0.77658,                0.99949,                 0.9994,                  0.995,                0.94278,                0.33045,                0.25658,                0.77205,             0.00055142,             0.00055142,             0.00055142
                     25,                0.40171,                0.29212,                0.77973,                0.99951,                0.99954,                  0.995,                0.94145,                0.32807,                 0.2504,                0.77209,             0.00054435,             0.00054435,             0.00054435
                     26,                0.37772,                0.28012,                0.78115,                0.99954,                0.99954,                  0.995,                0.94785,                0.30879,                0.22923,                0.77178,             0.00053728,             0.00053728,             0.00053728
                     27,                0.38842,                0.28445,                 0.7798,                 0.9995,                 0.9994,                  0.995,                0.94773,                0.31962,                0.24142,                0.77179,             0.00053022,             0.00053022,             0.00053022
                     28,                 0.3924,                 0.2912,                0.77878,                0.99918,                0.99947,                  0.995,                0.94508,                0.31579,                0.24613,                0.77266,             0.00052315,             0.00052315,             0.00052315
                     29,                0.39212,                0.28519,                0.77776,                0.99959,                0.99954,                  0.995,                0.95282,                0.30473,                0.23498,                0.77146,             0.00051608,             0.00051608,             0.00051608
                     30,                0.38233,                0.27523,                0.77556,                0.99956,                0.99954,                  0.995,                0.95357,                0.30913,                0.23531,                0.77076,             0.00050901,             0.00050901,             0.00050901
                     31,                0.38365,                 0.2691,                 0.7823,                0.99931,                0.99954,                  0.995,                0.95133,                 0.3087,                0.23887,                0.77039,             0.00050194,             0.00050194,             0.00050194
